id,handle,body,likes,reposts,sentiment,tag,at
post-surge-0,@grillsgonewild,small ohio company about to have the week of their LIVES #SwanSummer,14718,446,0.4649461,#SwanSummer,1369
post-surge-1,@aunt_carol_official,small ohio company about to have the week of their LIVES #SwanSummer,6597,7749,0.6229833,#SwanSummer,1472
post-surge-2,@toledotoday,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,66138,6713,0.13578948,#SwanSummer,1917
post-surge-3,@bouncehousebros,the swan is SOLD OUT everywhere. grand inflation please I am begging #SwanSummer,66491,8934,0.4504785,#SwanSummer,1358
post-surge-4,@theinflatableindex,septemberrrr?? for a pool float?? summer math is not mathing #SwanSummer,31293,4872,0.14302234,#SwanSummer,1424
post-surge-5,@aunt_carol_official,the swan is SOLD OUT everywhere. grand inflation please I am begging #SwanSummer,9782,7105,-0.150011,#SwanSummer,1823
post-surge-6,@cabanaclaire,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,43163,7729,0.22057413,#SwanSummer,1858
post-surge-7,@bouncehousebros,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,75319,4764,0.43554157,#SwanSummer,1712
post-surge-8,@midwestmama,small ohio company about to have the week of their LIVES #SwanSummer,56646,3293,0.40648386,#SwanSummer,1619
post-surge-9,@midwestmama,day 2 of refreshing the grand inflation site. the swan will be mine #SwanSummer,49809,5841,0.25326777,#SwanSummer,1759
post-surge-10,@patiopatti,the swan is SOLD OUT everywhere. grand inflation please I am begging #SwanSummer,7242,6769,0.11722978,#SwanSummer,1937
post-surge-11,@lakelifelarry,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,40725,2385,-0.1781926,#SwanSummer,1761
post-surge-12,@aunt_carol_official,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,78652,7354,0.13150565,#SwanSummer,1912
post-surge-13,@yardgoalsgary,the swan is SOLD OUT everywhere. grand inflation please I am begging #SwanSummer,26958,5352,-0.21623752,#SwanSummer,1662
post-surge-14,@cabanaclaire,day 2 of refreshing the grand inflation site. the swan will be mine #SwanSummer,32565,2756,0.27668667,#SwanSummer,1568
post-surge-15,@grillsgonewild,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,88846,3139,0.32067552,#SwanSummer,1507
post-surge-16,@brendasbackyard,septemberrrr?? for a pool float?? summer math is not mathing #SwanSummer,21095,7961,0.63985825,#SwanSummer,1749
post-surge-17,@lakelifelarry,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,48703,7082,-0.20041004,#SwanSummer,1779
post-surge-18,@sundaysue,septemberrrr?? for a pool float?? summer math is not mathing #SwanSummer,54984,4575,0.075990885,#SwanSummer,1474
post-surge-19,@couponqueenlinda,day 2 of refreshing the grand inflation site. the swan will be mine #SwanSummer,24016,8850,0.3529818,#SwanSummer,1339
post-surge-20,@couponqueenlinda,septemberrrr?? for a pool float?? summer math is not mathing #SwanSummer,32789,8071,0.046770148,#SwanSummer,1632
post-surge-21,@midwestmama,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,4207,3665,0.51095897,#SwanSummer,1949
post-surge-22,@couponqueenlinda,the swan is SOLD OUT everywhere. grand inflation please I am begging #SwanSummer,14836,3252,0.09653872,#SwanSummer,1916
post-surge-23,@hvacsteve,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,12437,5804,0.5870969,#SwanSummer,1344
post-surge-24,@toledotoday,septemberrrr?? for a pool float?? summer math is not mathing #SwanSummer,57466,174,0.32930312,#SwanSummer,1343
post-surge-25,@dealhunterdiaries,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,24223,3935,0.37416586,#SwanSummer,1695
post-surge-26,@bouncehousebros,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,66108,6050,0.29933962,#SwanSummer,1497
post-surge-27,@floatgoals,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,56457,2544,-0.16871952,#SwanSummer,1469
post-surge-28,@backyardbarry,the swan is SOLD OUT everywhere. grand inflation please I am begging #SwanSummer,51460,1100,-0.17628658,#SwanSummer,1860
post-surge-29,@swimlaneshannon,ordered at 2am. no confirmation. holding my breath and my pool noodle #SwanSummer,7331,6480,0.41720718,#SwanSummer,1446
