unit_id,dealer_account_id,model,motor_lot,status,installed
TM-00161,ACC-DLR-11,TUBE-DLX,4471,down,2025-02-01
TM-00025,ACC-DLR-19,TUBE-STD,4471,down,2026-12-01
TM-00172,ACC-DLR-8,TUBE-DLX,4471,down,2025-09-01
TM-00143,ACC-DLR-5,TUBE-DLX,4471,down,2026-01-01
TM-00045,ACC-DLR-39,TUBE-STD,4471,down,2025-02-01
TM-00181,ACC-DLR-31,TUBE-DLX,4471,down,2025-06-01
TM-00097,ACC-DLR-3,TUBE-DLX,4471,down,2026-01-01
TM-00213,ACC-DLR-15,TUBE-DLX,4471,down,2026-04-01
TM-00200,ACC-DLR-4,TUBE-STD,4471,down,2025-03-01
TM-00124,ACC-DLR-32,TUBE-DLX,4471,down,2026-12-01
TM-00192,ACC-DLR-28,TUBE-DLX,4471,down,2025-05-01
TM-00154,ACC-DLR-2,TUBE-DLX,4471,down,2026-11-01
TM-00022,ACC-DLR-38,TUBE-DLX,4471,down,2026-09-01
TM-00174,ACC-DLR-22,TUBE-DLX,4471,down,2026-11-01
TM-00147,ACC-DLR-33,TUBE-DLX,4471,down,2025-09-01
TM-00030,ACC-DLR-14,TUBE-STD,4471,down,2025-10-01
TM-00210,ACC-DLR-34,TUBE-STD,4471,down,2026-12-01
TM-00011,ACC-DLR-1,TUBE-DLX,4471,down,2026-05-01
TM-00176,ACC-DLR-36,TUBE-DLX,4471,down,2026-06-01
TM-00093,ACC-DLR-15,TUBE-DLX,4471,down,2025-12-01
TM-00059,ACC-DLR-17,TUBE-DLX,4471,down,2025-09-01
TM-00051,ACC-DLR-1,TUBE-DLX,4471,down,2026-01-01
TM-00073,ACC-DLR-35,TUBE-DLX,4471,down,2025-07-01
TM-00035,ACC-DLR-9,TUBE-STD,4471,down,2026-03-01
TM-00177,ACC-DLR-3,TUBE-DLX,4471,down,2026-05-01
TM-00102,ACC-DLR-38,TUBE-DLX,4471,down,2026-08-01
TM-00194,ACC-DLR-2,TUBE-DLX,4471,down,2026-10-01
TM-00075,ACC-DLR-9,TUBE-STD,4471,down,2025-02-01
TM-00077,ACC-DLR-23,TUBE-DLX,4471,down,2025-01-01
TM-00010,ACC-DLR-34,TUBE-STD,4471,down,2025-02-01
TM-00211,ACC-DLR-1,TUBE-DLX,4471,down,2026-10-01
TM-00191,ACC-DLR-21,TUBE-DLX,4471,down,2026-01-01
TM-00090,ACC-DLR-34,TUBE-STD,4471,down,2026-02-01
TM-00198,ACC-DLR-30,TUBE-DLX,4471,down,2025-05-01
TM-00080,ACC-DLR-4,TUBE-STD,4471,down,2025-02-01
TM-00021,ACC-DLR-31,TUBE-DLX,4471,down,2026-01-01
TM-00190,ACC-DLR-14,TUBE-STD,4471,down,2025-09-01
TM-00068,ACC-DLR-40,TUBE-DLX,4471,down,2026-07-01
TM-00055,ACC-DLR-29,TUBE-STD,4471,down,2025-01-01
TM-00069,ACC-DLR-7,TUBE-DLX,4471,down,2025-08-01
TM-00053,ACC-DLR-15,TUBE-DLX,4471,down,2026-09-01
TM-00033,ACC-DLR-35,TUBE-DLX,4471,down,2026-02-01
TM-00122,ACC-DLR-18,TUBE-DLX,4471,down,2026-08-01
TM-00133,ACC-DLR-15,TUBE-DLX,4471,down,2026-07-01
TM-00145,ACC-DLR-19,TUBE-STD,4471,down,2026-09-01
TM-00105,ACC-DLR-19,TUBE-STD,4471,down,2026-10-01
TM-00091,ACC-DLR-1,TUBE-DLX,4471,down,2025-09-01
TM-00132,ACC-DLR-8,TUBE-DLX,4471,down,2025-03-01
TM-00116,ACC-DLR-16,TUBE-DLX,4471,down,2026-09-01
TM-00186,ACC-DLR-26,TUBE-DLX,4471,down,2025-10-01
TM-00178,ACC-DLR-10,TUBE-DLX,4471,down,2025-11-01
TM-00137,ACC-DLR-3,TUBE-DLX,4471,down,2026-10-01
TM-00151,ACC-DLR-21,TUBE-DLX,4471,down,2026-04-01
TM-00187,ACC-DLR-33,TUBE-DLX,4471,down,2025-02-01
TM-00166,ACC-DLR-6,TUBE-DLX,4471,down,2025-06-01
TM-00118,ACC-DLR-30,TUBE-DLX,4471,down,2025-04-01
