unit_id,dealer_account_id,model,motor_lot,status,installed
TM-00001,ACC-DLR-11,TUBE-DLX,4471,up,2026-05-01
TM-00002,ACC-DLR-18,TUBE-DLX,4471,up,2025-01-01
TM-00003,ACC-DLR-25,TUBE-DLX,4471,up,2026-06-01
TM-00004,ACC-DLR-32,TUBE-DLX,4471,up,2026-08-01
TM-00005,ACC-DLR-39,TUBE-STD,4471,up,2026-01-01
TM-00006,ACC-DLR-6,TUBE-DLX,4471,up,2026-03-01
TM-00007,ACC-DLR-13,TUBE-DLX,4471,up,2025-09-01
TM-00008,ACC-DLR-20,TUBE-DLX,4471,up,2025-01-01
TM-00009,ACC-DLR-27,TUBE-DLX,4471,up,2025-04-01
TM-00010,ACC-DLR-34,TUBE-STD,4471,up,2025-02-01
TM-00011,ACC-DLR-1,TUBE-DLX,4471,up,2026-05-01
TM-00012,ACC-DLR-8,TUBE-DLX,4471,up,2025-09-01
TM-00013,ACC-DLR-15,TUBE-DLX,4471,up,2025-08-01
TM-00014,ACC-DLR-22,TUBE-DLX,4471,up,2025-08-01
TM-00015,ACC-DLR-29,TUBE-STD,4471,up,2026-06-01
TM-00016,ACC-DLR-36,TUBE-DLX,4471,up,2025-09-01
TM-00017,ACC-DLR-3,TUBE-DLX,4471,up,2025-02-01
TM-00018,ACC-DLR-10,TUBE-DLX,4471,up,2026-06-01
TM-00019,ACC-DLR-17,TUBE-DLX,4471,up,2025-12-01
TM-00020,ACC-DLR-24,TUBE-STD,4471,up,2025-05-01
TM-00021,ACC-DLR-31,TUBE-DLX,4471,up,2026-01-01
TM-00022,ACC-DLR-38,TUBE-DLX,4471,up,2026-09-01
TM-00023,ACC-DLR-5,TUBE-DLX,4471,up,2026-07-01
TM-00024,ACC-DLR-12,TUBE-DLX,4471,up,2025-10-01
TM-00025,ACC-DLR-19,TUBE-STD,4471,up,2026-12-01
TM-00026,ACC-DLR-26,TUBE-DLX,4471,up,2026-08-01
TM-00027,ACC-DLR-33,TUBE-DLX,4471,up,2026-02-01
TM-00028,ACC-DLR-40,TUBE-DLX,4471,up,2026-02-01
TM-00029,ACC-DLR-7,TUBE-DLX,4471,up,2026-02-01
TM-00030,ACC-DLR-14,TUBE-STD,4471,up,2025-10-01
TM-00031,ACC-DLR-21,TUBE-DLX,4471,up,2025-04-01
TM-00032,ACC-DLR-28,TUBE-DLX,4471,up,2025-10-01
TM-00033,ACC-DLR-35,TUBE-DLX,4471,up,2026-02-01
TM-00034,ACC-DLR-2,TUBE-DLX,4471,up,2025-05-01
TM-00035,ACC-DLR-9,TUBE-STD,4471,up,2026-03-01
TM-00036,ACC-DLR-16,TUBE-DLX,4471,up,2025-09-01
TM-00037,ACC-DLR-23,TUBE-DLX,4471,up,2025-04-01
TM-00038,ACC-DLR-30,TUBE-DLX,4471,up,2026-01-01
TM-00039,ACC-DLR-37,TUBE-DLX,4471,up,2025-12-01
TM-00040,ACC-DLR-4,TUBE-STD,4471,up,2025-04-01
TM-00041,ACC-DLR-11,TUBE-DLX,4471,up,2025-07-01
TM-00042,ACC-DLR-18,TUBE-DLX,4471,up,2025-08-01
TM-00043,ACC-DLR-25,TUBE-DLX,4471,up,2025-04-01
TM-00044,ACC-DLR-32,TUBE-DLX,4471,up,2026-01-01
TM-00045,ACC-DLR-39,TUBE-STD,4471,up,2025-02-01
TM-00046,ACC-DLR-6,TUBE-DLX,4471,up,2026-03-01
TM-00047,ACC-DLR-13,TUBE-DLX,4471,up,2025-04-01
TM-00048,ACC-DLR-20,TUBE-DLX,4471,up,2026-05-01
TM-00049,ACC-DLR-27,TUBE-DLX,4471,up,2025-05-01
TM-00050,ACC-DLR-34,TUBE-STD,4471,up,2025-12-01
TM-00051,ACC-DLR-1,TUBE-DLX,4471,up,2026-01-01
TM-00052,ACC-DLR-8,TUBE-DLX,4471,up,2026-06-01
TM-00053,ACC-DLR-15,TUBE-DLX,4471,up,2026-09-01
TM-00054,ACC-DLR-22,TUBE-DLX,4471,up,2026-02-01
TM-00055,ACC-DLR-29,TUBE-STD,4471,up,2025-01-01
TM-00056,ACC-DLR-36,TUBE-DLX,4471,up,2026-04-01
TM-00057,ACC-DLR-3,TUBE-DLX,4471,up,2025-11-01
TM-00058,ACC-DLR-10,TUBE-DLX,4471,up,2026-04-01
TM-00059,ACC-DLR-17,TUBE-DLX,4471,up,2025-09-01
TM-00060,ACC-DLR-24,TUBE-STD,4471,up,2026-09-01
TM-00061,ACC-DLR-31,TUBE-DLX,4471,up,2026-12-01
TM-00062,ACC-DLR-38,TUBE-DLX,4471,up,2025-08-01
TM-00063,ACC-DLR-5,TUBE-DLX,4471,up,2026-07-01
TM-00064,ACC-DLR-12,TUBE-DLX,4471,up,2025-12-01
TM-00065,ACC-DLR-19,TUBE-STD,4471,up,2025-05-01
TM-00066,ACC-DLR-26,TUBE-DLX,4471,up,2025-04-01
TM-00067,ACC-DLR-33,TUBE-DLX,4471,up,2025-08-01
TM-00068,ACC-DLR-40,TUBE-DLX,4471,up,2026-07-01
TM-00069,ACC-DLR-7,TUBE-DLX,4471,up,2025-08-01
TM-00070,ACC-DLR-14,TUBE-STD,4471,up,2026-01-01
TM-00071,ACC-DLR-21,TUBE-DLX,4471,up,2025-08-01
TM-00072,ACC-DLR-28,TUBE-DLX,4471,up,2025-10-01
TM-00073,ACC-DLR-35,TUBE-DLX,4471,up,2025-07-01
TM-00074,ACC-DLR-2,TUBE-DLX,4471,up,2025-09-01
TM-00075,ACC-DLR-9,TUBE-STD,4471,up,2025-02-01
TM-00076,ACC-DLR-16,TUBE-DLX,4471,up,2025-10-01
TM-00077,ACC-DLR-23,TUBE-DLX,4471,up,2025-01-01
TM-00078,ACC-DLR-30,TUBE-DLX,4471,up,2025-11-01
TM-00079,ACC-DLR-37,TUBE-DLX,4471,up,2025-11-01
TM-00080,ACC-DLR-4,TUBE-STD,4471,up,2025-02-01
TM-00081,ACC-DLR-11,TUBE-DLX,4471,up,2025-02-01
TM-00082,ACC-DLR-18,TUBE-DLX,4471,up,2025-01-01
TM-00083,ACC-DLR-25,TUBE-DLX,4471,up,2026-02-01
TM-00084,ACC-DLR-32,TUBE-DLX,4471,up,2026-05-01
TM-00085,ACC-DLR-39,TUBE-STD,4471,up,2025-01-01
TM-00086,ACC-DLR-6,TUBE-DLX,4471,up,2026-11-01
TM-00087,ACC-DLR-13,TUBE-DLX,4471,up,2025-10-01
TM-00088,ACC-DLR-20,TUBE-DLX,4471,up,2025-09-01
TM-00089,ACC-DLR-27,TUBE-DLX,4471,up,2025-03-01
TM-00090,ACC-DLR-34,TUBE-STD,4471,up,2026-02-01
TM-00091,ACC-DLR-1,TUBE-DLX,4471,up,2025-09-01
TM-00092,ACC-DLR-8,TUBE-DLX,4471,up,2025-05-01
TM-00093,ACC-DLR-15,TUBE-DLX,4471,up,2025-12-01
TM-00094,ACC-DLR-22,TUBE-DLX,4471,up,2026-04-01
TM-00095,ACC-DLR-29,TUBE-STD,4471,up,2025-11-01
TM-00096,ACC-DLR-36,TUBE-DLX,4471,up,2026-10-01
TM-00097,ACC-DLR-3,TUBE-DLX,4471,up,2026-01-01
TM-00098,ACC-DLR-10,TUBE-DLX,4471,up,2026-02-01
TM-00099,ACC-DLR-17,TUBE-DLX,4471,up,2026-08-01
TM-00100,ACC-DLR-24,TUBE-STD,4471,up,2026-09-01
TM-00101,ACC-DLR-31,TUBE-DLX,4471,up,2025-03-01
TM-00102,ACC-DLR-38,TUBE-DLX,4471,up,2026-08-01
TM-00103,ACC-DLR-5,TUBE-DLX,4471,up,2025-02-01
TM-00104,ACC-DLR-12,TUBE-DLX,4471,up,2026-08-01
TM-00105,ACC-DLR-19,TUBE-STD,4471,up,2026-10-01
